A,B,support,jaccard,count_ab,count_a,count_b
Desk Lamp,Office Chair,0.027807486631016044,0.08253968253968254,26,171,170
Blue Pen,Notebook,0.026737967914438502,0.07692307692307693,25,168,182
Headphones,Wall Clock,0.025668449197860963,0.07667731629392971,24,179,158
Backpack,Wall Clock,0.023529411764705882,0.07508532423208192,22,157,158
Headphones,White Mug,0.025668449197860963,0.07142857142857142,24,179,181
Desk Lamp,White Mug,0.02459893048128342,0.06990881458966565,23,171,181
Notebook,T-shirt,0.025668449197860963,0.06896551724137931,24,182,190
Headphones,USB Cable,0.023529411764705882,0.0668693009118541,22,179,172
T-shirt,White Mug,0.02459893048128342,0.06609195402298851,23,190,181
Blue Pen,USB Cable,0.022459893048128343,0.06583072100313479,21,168,172
Desk Lamp,USB Cable,0.022459893048128343,0.06521739130434782,21,171,172
T-shirt,USB Cable,0.023529411764705882,0.06470588235294118,22,190,172
T-shirt,Wall Clock,0.022459893048128343,0.06422018348623854,21,190,158
Headphones,Office Chair,0.022459893048128343,0.06402439024390244,21,179,170
T-shirt,Wireless Mouse,0.022459893048128343,0.06402439024390244,21,190,159
Backpack,Headphones,0.0213903743315508,0.06329113924050633,20,157,179
Notebook,Wireless Mouse,0.0213903743315508,0.06230529595015576,20,182,159
USB Cable,Wireless Mouse,0.020320855614973262,0.060897435897435896,19,172,159
Office Chair,White Mug,0.0213903743315508,0.06042296072507553,20,170,181
Desk Lamp,Notebook,0.0213903743315508,0.06006006006006006,20,171,182
